epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,train_time_sec,val_time_sec,params,macs,flops
1,1.4056955003738403,0.43375,0.42978240192217854,0.43375,0.40283212902923643,1.1747901099068778,0.56,0.35194174055164235,0.5599999999999999,0.427358078824234,4.329740524291992,0.584907054901123,1503882,58835200.0,117670400.0
2,1.1732988166809082,0.6025,0.6538531351909336,0.6025,0.5357131225210134,0.9875592844826835,0.68,0.7027719323990511,0.6799999999999999,0.6339383593752526,4.244053602218628,0.5476689338684082,1503882,58835200.0,117670400.0
3,0.9789174509048462,0.70375,0.7201614359172752,0.70375,0.6717617497056285,0.8195981383323669,0.785,0.8005095223411598,0.785,0.7710873662965118,4.290445566177368,0.5504391193389893,1503882,58835200.0,117670400.0
4,0.821098325252533,0.78,0.7962225678544952,0.78,0.76388106903027,0.6647425719669887,0.805,0.8222207357859531,0.805,0.7937788219433375,4.277893304824829,0.551459789276123,1503882,58835200.0,117670400.0
5,0.6795789480209351,0.84,0.849065486344099,0.8400000000000001,0.8313429277557475,0.5316805796963828,0.835,0.8442706495589414,0.835,0.8290086149227059,4.258138418197632,0.5448973178863525,1503882,58835200.0,117670400.0
6,0.5650541746616363,0.8825,0.8869602632616935,0.8825,0.8782524386215023,0.4393291601112911,0.875,0.8838029218843172,0.875,0.8688316903979555,4.256402969360352,0.5514578819274902,1503882,58835200.0,117670400.0
7,0.48981589913368223,0.895,0.9009025313022312,0.8949999999999999,0.8925224929915627,0.4243574057306562,0.88,0.886003776585172,0.8800000000000001,0.8804917363227837,4.269920825958252,0.5457017421722412,1503882,58835200.0,117670400.0
8,0.4071583342552185,0.9325,0.9376220665023804,0.9324999999999999,0.9315340951354806,0.31512670644692015,0.925,0.935796511627907,0.925,0.9249933065595716,4.270611763000488,0.5545392036437988,1503882,58835200.0,117670400.0
9,0.3411827743053436,0.94,0.9462819629793916,0.9399999999999998,0.939591658181204,0.29279028304985594,0.93,0.9382901013714967,0.93,0.9288141551905469,4.276699781417847,0.55464768409729,1503882,58835200.0,117670400.0
10,0.3028159934282303,0.94375,0.9501786055739704,0.94375,0.9435404599167955,0.2302696257829666,0.93,0.9406411062225015,0.93,0.9289904205566856,4.260576486587524,0.54557204246521,1503882,58835200.0,117670400.0
11,0.24697502791881562,0.95125,0.9572052048690309,0.9512499999999999,0.9509331481355492,0.22093238362244197,0.905,0.9174805057157999,0.905,0.9046806851684901,4.283914089202881,0.5581221580505371,1503882,58835200.0,117670400.0
12,0.2195933949947357,0.955,0.959128942715114,0.9550000000000001,0.9546974427843994,0.15169099079711096,0.97,0.9703287298922729,0.97,0.9698631968468338,4.284814119338989,0.543114185333252,1503882,58835200.0,117670400.0
13,0.1672810310125351,0.975,0.9767965367965367,0.975,0.9749571842941063,0.10487071637596403,0.985,0.9853479853479854,0.985,0.9849953689410311,4.253267526626587,0.5557003021240234,1503882,58835200.0,117670400.0
14,0.1411946564912796,0.98,0.9804273715243553,0.9800000000000001,0.9799857501199197,0.09343454082097326,0.985,0.9855981416957027,0.985,0.9848606076248352,4.3032190799713135,0.5406756401062012,1503882,58835200.0,117670400.0
15,0.12018791943788529,0.9875,0.9875604656847703,0.9875,0.9874916737734335,0.10664451654468264,0.98,0.980836236933798,0.9799999999999999,0.9799825588443476,4.263405084609985,0.5538208484649658,1503882,58835200.0,117670400.0
16,0.10607269376516343,0.99,0.990258412344302,0.99,0.9900022006445175,0.06729789823293686,0.995,0.9951219512195122,0.9949999999999999,0.9949992186279106,4.277671813964844,0.5507099628448486,1503882,58835200.0,117670400.0
17,0.08149769335985184,0.99625,0.9962499023399352,0.9962500000000001,0.9962460692975517,0.054053492311920436,0.995,0.9951219512195122,0.9949999999999999,0.9949992186279106,4.243942737579346,0.5540969371795654,1503882,58835200.0,117670400.0
18,0.07112142965197563,0.99625,0.9962500000000001,0.9962500000000001,0.9962500000000001,0.051983157971075604,0.995,0.9951219512195122,0.9949999999999999,0.9949992186279106,4.243638038635254,0.5427336692810059,1503882,58835200.0,117670400.0
19,0.056510611027479174,1.0,1.0,1.0,1.0,0.04948551048125539,0.995,0.9951219512195122,0.9949999999999999,0.9949992186279106,4.263367414474487,0.5410401821136475,1503882,58835200.0,117670400.0
20,0.05022442728281021,1.0,1.0,1.0,1.0,0.047529952600598335,0.995,0.9951219512195122,0.9949999999999999,0.9949992186279106,4.260672569274902,0.5529539585113525,1503882,58835200.0,117670400.0
