epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,train_time_sec,val_time_sec,params,macs,flops
1,1.4059760937323937,0.415,0.405739116717851,0.41500000000000004,0.37959766372282294,1.0957089960575104,0.54,0.34525925925925927,0.54,0.4134390209984703,7.530590534210205,0.7643823623657227,6841130,252979520.0,505959040.0
2,1.1373226275810828,0.6075,0.5999513153277735,0.6075,0.5649202219570238,0.9465170204639435,0.63,0.5160514408192427,0.63,0.5480963480963481,7.464287281036377,0.7791585922241211,6841130,252979520.0,505959040.0
3,0.9894924943263714,0.6725,0.6868750760055334,0.6725,0.6389486639484215,0.7977908849716187,0.71,0.7347103390660559,0.71,0.6802032553912254,7.489048004150391,0.7777950763702393,6841130,252979520.0,505959040.0
4,0.883592990728525,0.7125,0.727983905663016,0.7125,0.6956348465043265,0.7105130404233932,0.76,0.7930038859044944,0.76,0.7359488473259115,7.483826160430908,0.7741148471832275,6841130,252979520.0,505959040.0
5,0.7786267812435443,0.7625,0.7941731266149871,0.7625,0.742982725256504,0.6308456659317017,0.78,0.7840605787974209,0.78,0.7672893792826316,7.526098966598511,0.7650306224822998,6841130,252979520.0,505959040.0
6,0.7330962717533112,0.74,0.7449296234467478,0.74,0.7317500545753012,0.6119856685400009,0.74,0.78003663003663,0.74,0.7073683280311063,7.592228651046753,0.7639586925506592,6841130,252979520.0,505959040.0
7,0.6341193914413452,0.815,0.8471820545239371,0.8150000000000001,0.8070374605945559,0.5513725057244301,0.81,0.8235246235246235,0.8099999999999999,0.7974037890240141,7.439185857772827,0.7700262069702148,6841130,252979520.0,505959040.0
8,0.5864085279978238,0.8275,0.8424564465284545,0.8275,0.8208685641582061,0.434073768556118,0.82,0.8400000000000001,0.82,0.80721616524921,7.437425374984741,0.7655959129333496,6841130,252979520.0,505959040.0
9,0.5278249474672171,0.855,0.8753720618682255,0.8550000000000001,0.8514397510667238,0.3791450187563896,0.85,0.8488972431077693,0.85,0.8441451502427112,7.47566032409668,0.7700140476226807,6841130,252979520.0,505959040.0
10,0.4568424110229199,0.8875,0.9098581573949499,0.8875,0.8859086966975449,0.34633512794971466,0.87,0.8753946053946053,0.8699999999999999,0.8638232499208109,7.478721857070923,0.7898092269897461,6841130,252979520.0,505959040.0
11,0.3976958462825188,0.9025,0.9139282301035572,0.9025000000000001,0.9016774404616055,0.24171094596385956,0.92,0.9256935817805383,0.9199999999999999,0.9196439150438016,7.455662488937378,0.77008056640625,6841130,252979520.0,505959040.0
12,0.3530596127876869,0.92,0.928110110734526,0.9199999999999999,0.9196958454696029,0.1938105672597885,0.96,0.9643892339544513,0.96,0.9598240415029979,7.477731227874756,0.76955246925354,6841130,252979520.0,505959040.0
13,0.3582150408854851,0.905,0.9133384167016768,0.9049999999999999,0.9029279135531398,0.19011644832789898,0.95,0.9548654244306418,0.95,0.948939986716504,7.476563215255737,0.8053779602050781,6841130,252979520.0,505959040.0
14,0.2977341115474701,0.925,0.9320333845742447,0.925,0.9243615654892559,0.1627376265823841,0.96,0.9643892339544513,0.96,0.9598240415029979,7.43888783454895,0.7753255367279053,6841130,252979520.0,505959040.0
15,0.2473370570402879,0.9325,0.9408893862255076,0.9324999999999999,0.9326930900008769,0.13399730250239372,0.96,0.9643892339544513,0.96,0.9598240415029979,7.416793346405029,0.7665917873382568,6841130,252979520.0,505959040.0
16,0.219455470259373,0.9575,0.9581135070323532,0.9574999999999999,0.9574176132180489,0.13269515335559845,0.97,0.9739130434782609,0.97,0.9698302954116909,7.457303047180176,0.7604517936706543,6841130,252979520.0,505959040.0
17,0.20412278404602638,0.9575,0.9580370782130705,0.9574999999999999,0.9572967782993898,0.12913326732814312,0.97,0.9739130434782609,0.97,0.9698302954116909,7.422855615615845,0.765167236328125,6841130,252979520.0,505959040.0
18,0.16711903650027055,0.9675,0.9675839945676314,0.9675,0.9674662997688372,0.11741953901946545,0.99,0.9904761904761905,0.99,0.9899937460913071,7.418090343475342,0.7636237144470215,6841130,252979520.0,505959040.0
19,0.14716899223052538,0.9725,0.9724532002174279,0.9724999999999999,0.9723702438707515,0.09173359535634518,0.99,0.9904761904761905,0.99,0.9899937460913071,7.42109227180481,0.7702796459197998,6841130,252979520.0,505959040.0
20,0.1251923877459306,0.9825,0.9829517514330245,0.9824999999999999,0.9824941048385119,0.12277154065668583,0.96,0.9666666666666668,0.96,0.9604737604737604,7.464197158813477,0.7977728843688965,6841130,252979520.0,505959040.0
