epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,train_time_sec,val_time_sec,params,macs,flops
1,1.344972815513611,0.47,0.4495335098378943,0.47000000000000003,0.4526785170666308,1.0960249049322945,0.56,0.5630058072009292,0.5599999999999999,0.43885124211185095,9.922304153442383,1.0774579048156738,4585770,171371840.0,342743680.0
2,1.0335912418365478,0.64625,0.6392420456381664,0.64625,0.5999438993442274,0.8893889359065464,0.705,0.7649008854235497,0.7050000000000001,0.6519286169124227,9.896909952163696,1.0404820442199707,4585770,171371840.0,342743680.0
3,0.8038765048980713,0.75875,0.7651515656210153,0.75875,0.7408145784288204,0.6891509379659381,0.765,0.8018351886209029,0.765,0.7450702206657263,9.896327018737793,1.0522093772888184,4585770,171371840.0,342743680.0
4,0.6683134353160858,0.81875,0.8319513094640977,0.81875,0.8098504810434768,0.5307434925011226,0.84,0.8519325074055283,0.8400000000000001,0.8339956405985447,9.884934186935425,1.0554745197296143,4585770,171371840.0,342743680.0
5,0.5380096864700318,0.86,0.8664720256709089,0.86,0.8558439803542426,0.42674422902720316,0.845,0.8780207630895498,0.845,0.8417323819007976,9.90140438079834,1.0629706382751465,4585770,171371840.0,342743680.0
6,0.4389387857913971,0.885,0.8926494601429091,0.8850000000000001,0.8838187063905542,0.3247705761875425,0.89,0.898829124673125,0.89,0.8891802778553398,9.86969804763794,1.0264842510223389,4585770,171371840.0,342743680.0
7,0.34153237521648405,0.93,0.9362783137659051,0.9299999999999999,0.9290893034378355,0.25040758720466066,0.925,0.9378618113912232,0.925,0.9254089362878167,9.915608167648315,1.0399439334869385,4585770,171371840.0,342743680.0
8,0.3023743772506714,0.93625,0.9421811458088669,0.93625,0.9357139757349653,0.22249432866062438,0.925,0.9414195867026056,0.925,0.9255966330799279,9.876318216323853,1.064612865447998,4585770,171371840.0,342743680.0
9,0.25447011321783064,0.93875,0.9458393944506674,0.93875,0.9384341501922847,0.2014144424881254,0.94,0.9504761904761905,0.9400000000000001,0.9397554085290258,9.870481967926025,1.0833969116210938,4585770,171371840.0,342743680.0
10,0.2135747554898262,0.9475,0.9526376530499372,0.9475,0.9474455446192913,0.19626141445977346,0.94,0.9538461538461538,0.9400000000000001,0.9407687230099967,9.866710901260376,1.0598955154418945,4585770,171371840.0,342743680.0
11,0.19651700913906098,0.95,0.955271571181649,0.95,0.9499876944931689,0.11796894456659045,0.955,0.963265306122449,0.9550000000000001,0.9544231682228201,9.94245433807373,1.0385377407073975,4585770,171371840.0,342743680.0
12,0.16508058190345765,0.96,0.9639479641173372,0.96,0.9599941356078645,0.10331121193511146,0.98,0.9807200929152149,0.9800000000000001,0.9796573638251003,9.87742805480957,1.0392274856567383,4585770,171371840.0,342743680.0
13,0.12724726840853692,0.97875,0.9800036112200704,0.97875,0.9788028699143254,0.06983362457581929,0.985,0.9855981416957027,0.985,0.9848606076248352,9.937180995941162,1.0436437129974365,4585770,171371840.0,342743680.0
14,0.10753154456615448,0.98,0.980257863266449,0.9800000000000001,0.9799503152898538,0.0875375470412629,0.985,0.9855981416957027,0.985,0.9848606076248352,9.92816162109375,1.043626308441162,4585770,171371840.0,342743680.0
15,0.08232730969786645,0.98875,0.9889345063538612,0.9887499999999999,0.9887472527472527,0.044732172042131424,0.995,0.9951219512195122,0.9949999999999999,0.9949992186279106,9.934415102005005,1.0276663303375244,4585770,171371840.0,342743680.0
16,0.0585763780772686,0.99625,0.9963190184049079,0.9962500000000001,0.9962496703811858,0.051136668239321025,0.995,0.9951219512195122,0.9949999999999999,0.9949992186279106,9.95492696762085,1.062002182006836,4585770,171371840.0,342743680.0
17,0.05380612134933472,0.9925,0.9925617283950618,0.9925,0.9925154302902458,0.03924266355378287,0.995,0.9951219512195122,0.9949999999999999,0.9949992186279106,9.974532842636108,1.0419554710388184,4585770,171371840.0,342743680.0
18,0.04264325372874737,0.99875,0.9987577639751553,0.99875,0.9987499877928496,0.043248512116926055,0.995,0.9951219512195122,0.9949999999999999,0.9949992186279106,9.88479733467102,1.0393388271331787,4585770,171371840.0,342743680.0
19,0.04093248188495636,0.99875,0.9987577639751553,0.99875,0.9987499877928496,0.05009257314460618,0.99,0.9901219512195123,0.99,0.9899992186279107,9.902438402175903,1.0884196758270264,4585770,171371840.0,342743680.0
20,0.03359923005104065,0.99875,0.9987577639751553,0.99875,0.9987499877928496,0.03919162508100271,0.995,0.9951219512195122,0.9949999999999999,0.9949992186279106,9.933015823364258,1.041707992553711,4585770,171371840.0,342743680.0
