epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,train_time_sec,val_time_sec,params,macs,flops
1,0.8754156675338746,0.71375,0.722636484229273,0.71375,0.6946511545308738,0.4165338589809835,0.898,0.903641431022713,0.898,0.8962881613603983,43.93141722679138,4.987354516983032,4585770,171371840.0,342743680.0
2,0.3405815557837486,0.91275,0.9198104534947774,0.91275,0.9117503975140504,0.15614364831708372,0.963,0.9669050833654793,0.9629999999999999,0.9631772829660805,44.323556900024414,4.911787748336792,4585770,171371840.0,342743680.0
3,0.14167467153072358,0.97225,0.9733691886347635,0.9722500000000001,0.9721965313986349,0.07466359622776508,0.989,0.989178401766732,0.9890000000000001,0.9890137098003633,44.078577756881714,4.910719156265259,4585770,171371840.0,342743680.0
4,0.052490195065736774,0.99525,0.9952558716678702,0.9952500000000001,0.9952502960034423,0.03903651639120653,0.995,0.9950445790847742,0.9949999999999999,0.9949948369933266,44.04813623428345,4.931080102920532,4585770,171371840.0,342743680.0
5,0.03003171467781067,0.998,0.9980003074164813,0.998,0.9979996859362773,0.014925544586731121,0.999,0.9990049751243781,0.999,0.998999993749961,44.0502769947052,4.906523704528809,4585770,171371840.0,342743680.0
6,0.021459738723933697,0.999,0.9990006203163769,0.999,0.9989996863276349,0.01761315282783471,0.997,0.9970247771045762,0.9969999999999999,0.9969999437487109,44.12219452857971,5.0849268436431885,4585770,171371840.0,342743680.0
7,0.017193365558981894,0.99875,0.9987506234384741,0.99875,0.9987501558594358,0.010447710796142928,0.999,0.9990049751243781,0.999,0.998999993749961,44.2365140914917,4.962449550628662,4585770,171371840.0,342743680.0
8,0.009528216920793057,1.0,1.0,1.0,1.0,0.008430122587014921,0.999,0.9990049751243781,0.999,0.998999993749961,44.19114923477173,4.878625154495239,4585770,171371840.0,342743680.0
9,0.006921328410506249,1.0,1.0,1.0,1.0,0.008314884449646343,0.999,0.9990049751243781,0.999,0.998999993749961,44.06220841407776,5.130111932754517,4585770,171371840.0,342743680.0
10,0.006371889095753432,1.0,1.0,1.0,1.0,0.006795210407290142,0.999,0.9990049751243781,0.999,0.998999993749961,44.1956946849823,4.944132089614868,4585770,171371840.0,342743680.0
11,0.03197899178043008,0.99325,0.9932486733227327,0.9932500000000001,0.9932470106194607,0.017726287987898104,0.996,0.9960049751243781,0.9960000000000001,0.9959999937499611,44.16309428215027,4.835856914520264,4585770,171371840.0,342743680.0
12,0.013767199352383614,0.99825,0.9982528050941974,0.99825,0.9982493707939243,0.0034466811921447515,1.0,1.0,1.0,1.0,44.08850812911987,4.94711971282959,4585770,171371840.0,342743680.0
13,0.004332316119223833,1.0,1.0,1.0,1.0,0.006011887489876244,0.999,0.9990049751243781,0.999,0.998999993749961,43.90449357032776,4.981393337249756,4585770,171371840.0,342743680.0
14,0.0033480827677994968,1.0,1.0,1.0,1.0,0.0028488402858783957,1.0,1.0,1.0,1.0,44.27225947380066,4.9174511432647705,4585770,171371840.0,342743680.0
15,0.002844539139419794,1.0,1.0,1.0,1.0,0.0017854768120741937,1.0,1.0,1.0,1.0,44.22992134094238,4.884293794631958,4585770,171371840.0,342743680.0
16,0.002463709402829409,1.0,1.0,1.0,1.0,0.0018872511682275217,1.0,1.0,1.0,1.0,44.042646169662476,4.86061692237854,4585770,171371840.0,342743680.0
17,0.0021477775434032083,1.0,1.0,1.0,1.0,0.0017583532971912064,1.0,1.0,1.0,1.0,43.916605949401855,4.998821496963501,4585770,171371840.0,342743680.0
18,0.026132216557860376,0.99475,0.9947457955548057,0.99475,0.9947429183624555,0.02011733062681742,0.99,0.9904761904761905,0.99,0.9899937460913071,44.1317138671875,4.91864013671875,4585770,171371840.0,342743680.0
19,0.006929012281820178,0.99925,0.99925,0.99925,0.99925,0.0032392776338383555,0.999,0.9990049751243781,0.999,0.998999993749961,44.02696228027344,4.867337226867676,4585770,171371840.0,342743680.0
20,0.002413067439571023,1.0,1.0,1.0,1.0,0.001515820658823941,1.0,1.0,1.0,1.0,44.11090278625488,5.0788962841033936,4585770,171371840.0,342743680.0
