epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,train_time_sec,val_time_sec,params,macs,flops
1,1.5361812940010657,0.2925,0.30450475599669147,0.29250000000000004,0.2959462778878004,1.2972832024097443,0.44,0.3527344748274981,0.44000000000000006,0.37427849927849927,7.690600633621216,0.6186239719390869,4391562,163455232.0,326910464.0
2,1.465804329285255,0.3575,0.3463516151195026,0.35750000000000004,0.3224006071704006,1.2473079562187195,0.48,0.41966666666666674,0.4800000000000001,0.4303578154425612,5.737227201461792,0.5854823589324951,4391562,163455232.0,326910464.0
3,1.4286709932180552,0.39,0.36182539682539683,0.39,0.3566125855990923,1.2072521150112152,0.43,0.47249992467383767,0.43,0.34472582718127603,5.7355897426605225,0.6027026176452637,4391562,163455232.0,326910464.0
4,1.3838422481830304,0.4175,0.47687033229280973,0.4175,0.36001474552095575,1.1650268286466599,0.47,0.3858988974412315,0.47000000000000003,0.42018639154224935,5.699212551116943,0.5957624912261963,4391562,163455232.0,326910464.0
5,1.366087134067829,0.4275,0.4425550479889485,0.42749999999999994,0.4104931235318241,1.1671229153871536,0.51,0.5756512493354599,0.51,0.5015449764996045,5.76651406288147,0.574324369430542,4391562,163455232.0,326910464.0
6,1.3157056386654193,0.445,0.44091198879765126,0.445,0.4402388326794687,1.1169673949480057,0.53,0.5284981684981684,0.53,0.5243400831523843,5.668943166732788,0.5784101486206055,4391562,163455232.0,326910464.0
7,1.2835360490358794,0.4525,0.45615484914953014,0.4525,0.42958627561421725,1.0736843794584274,0.54,0.7123294723294723,0.54,0.521670843776107,5.703821897506714,0.5977699756622314,4391562,163455232.0,326910464.0
8,1.243006522838886,0.4725,0.48677029438860914,0.4725,0.46770283504120347,1.0974918603897095,0.57,0.6100568450110784,0.5700000000000001,0.5594247108092102,5.69401478767395,0.595905065536499,4391562,163455232.0,326910464.0
9,1.2111529524509723,0.53,0.5242005841884776,0.53,0.5194205320925436,1.0738101154565811,0.57,0.5927642636001769,0.5700000000000001,0.5599027169758877,5.725852012634277,0.5913820266723633,4391562,163455232.0,326910464.0
10,1.197901230591994,0.5025,0.502246000584871,0.5025000000000001,0.4964155995163872,1.0396815538406372,0.56,0.5571935670820052,0.5599999999999999,0.5492244399807424,5.736237287521362,0.6054446697235107,4391562,163455232.0,326910464.0
11,1.1695243670390203,0.55,0.5521935223096477,0.55,0.5365331923844913,1.0277961790561676,0.61,0.6582289055973267,0.61,0.6109136939712364,5.771454572677612,0.5810885429382324,4391562,163455232.0,326910464.0
12,1.1152843512021577,0.5575,0.5610157769012487,0.5575,0.5583458586190161,1.046278029680252,0.56,0.5406877302975307,0.5599999999999999,0.5160129275177742,5.724727153778076,0.594973087310791,4391562,163455232.0,326910464.0
13,1.0754749591533954,0.5675,0.5804044802799553,0.5675,0.5503670576932882,1.0167322903871536,0.6,0.6338834776334776,0.6000000000000001,0.5796847078253753,5.7056214809417725,0.5841827392578125,4391562,163455232.0,326910464.0
14,1.0499133788622343,0.6,0.5987947810703229,0.6,0.5929167440489952,0.9625670611858368,0.63,0.649994879672299,0.63,0.6053727783511065,5.732349634170532,0.5836679935455322,4391562,163455232.0,326910464.0
15,1.013599537886106,0.635,0.6458574381389915,0.635,0.6303323891562862,1.0074881613254547,0.66,0.6743656343656343,0.6599999999999999,0.6431547576472832,5.711025714874268,0.6168084144592285,4391562,163455232.0,326910464.0
16,1.0065561853922331,0.6375,0.6393126730586914,0.6375,0.6310464392974722,0.9454192668199539,0.62,0.6311059907834101,0.62,0.5914027149321267,5.767916440963745,0.6090419292449951,4391562,163455232.0,326910464.0
17,0.9750578953669622,0.6725,0.6823198805304581,0.6725,0.6660995885388351,0.9386531114578247,0.65,0.6397216117216117,0.65,0.6343811642720008,5.758657217025757,0.6085073947906494,4391562,163455232.0,326910464.0
18,0.9412908233129061,0.65,0.6530575884368666,0.65,0.6443925588081598,0.921769991517067,0.66,0.6801515151515151,0.6599999999999999,0.6460756522524149,5.703756809234619,0.6018390655517578,4391562,163455232.0,326910464.0
19,0.9279336287425115,0.655,0.680188170664028,0.655,0.642056764264546,1.0133498758077621,0.7,0.7170490925898896,0.7,0.6915122609240256,5.730287313461304,0.5899302959442139,4391562,163455232.0,326910464.0
20,0.8730912804603577,0.7075,0.7147326411935863,0.7075000000000001,0.703569328081063,0.8387304246425629,0.69,0.6911471536958793,0.6900000000000001,0.6592192082557531,5.745777368545532,0.5881083011627197,4391562,163455232.0,326910464.0
